"Sr No"," Blood Bank Name"," State"," District"," City"," Address",Pincode," Contact No"," Mobile"," Helpline"," Fax"," Email"," Website"," Nodal Officer "," Contact Nodal Officer"," Mobile Nodal Officer"," Email Nodal Officer"," Qualification Nodal Officer"," Category"," Blood Component Available"," Apheresis"," Service Time"," License #"," Date License Obtained"," Date of Renewal"," Latitude"," Longitude"
25,"M/S. Kims & Research Foundation, Hospital Blood Bank","Andhra Pradesh","EAST GODAVARI",Amalapuram,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.",533201,"08856 237996, 08856 237997, 08856 237998",9949993495,NA,"08856 237985",Principal07kims@yahoo.co.in,NA,"Dr. E. Sanjeev Rao, Dr. P. Subba Rao",NA,"07702998542, 09440542842",kimsbbampeg@gmail.Com,"B.Sc, MBBS, MD (Pathologist),",Charity,YES,NO,24x7,5/EG/AP/2004/BB/R,27.05.2004,26.05.2019,16.592169,82.024025
26,"M/s. A.P.V.V.P Area Hospital Blood Bank","Andhra Pradesh","EAST GODAVARI",Amalapuram,"Ground Floor Area Hospital, Amalapuram",533201,NA,"09505152234, 09491219991",NA,NA,NA,NA,"Dr. G. Karnal Raju",NA,09989106236,bloodbankahamp@gmail.com,"MBBS, DLO",Government,NO,NO,24x7,8/EG/AP/2006/BB/G,28.08.2006,28.08.2019,16.575367,81.998101
27,"M/s. Government General Hospital, Blood Bank.","Andhra Pradesh","EAST GODAVARI",Kakinada,"Government General Premises, Ground Floor, Kakinada",533001,"0884 2302008",9390207027,NA,"0884 2358474",bloodbankgghkkd@gmail.com,NA,"Dr. K. Satyavani",9390207027,NA,drsatyavani@yahoo.co.in,NA,Charity,YES,NA,24x7,NA,NA,NA,16.955537,82.22748
28,"M/s. Indian Red Cross Society Blood Bank","Andhra Pradesh","EAST GODAVARI",Kakinada,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",533004,"0884 2385800",9848071868,NA,NA,nraopydah@yahoo.co.in,http://www.Indianredcross-eg.org,"Dr. Nageswar Rao",NA,9848071868,redcrossbloodbank@yahoo.com,"MBBS, DCP",Charity,YES,YES,24x7,14/EG/AP/2003/BB/G,02.09.2003,28.08.2018,16.989065,82.247465
29,"M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust)","Andhra Pradesh","EAST GODAVARI",Kakinada,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada",533001,"0884 2367366,",9494673434,NA,NA,NA,NA,"Dr. P. Kamaraju",NA,09848620802,rotarybloodbank.kakinada@gmail.com,MBBS,Charity,NO,NO,24x7,148/EG/AP/2000/BB/,07.03.2001,15.03.2019,0,0
30,"District Headquarters Hospital","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",533101,NA,9849520969,NA,NA,govtbloodbank.rjy@gmail.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,24x7,NA,NA,NA,17.019708,81.791631
31,"M/s. G. S. L. Medical College General Hospital Blood Bank","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",533296,"0883 2484999",NA,NA,"0883 2484888",NA,NA,NA,NA,NA,gslbloodbank@gmail.com,NA,Private,YES,NO,"24 Hours",NA,NA,NA,0,0
32,"M/s. Swatantra Hospital,  Blood Bank","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",533103,"0883 2464745, 0883 246569878, 0883 2461493",NA,NA,NA,NA,NA,"Dr. M. C. Ramesh",NA,09642359555,swantantrabbrjy@gmail.com,MBBS,Private,NO,NO,24x7,127/EG/AP/98/BB/R,21.01.1992,04.12.2018,0,0
33,"M/S. Dhanwantari Voluntary Blood Bank.","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",533103,0833-2473050,9885186533,NA,NA,dvbbrjy@gmail.com,NA,"Dr K Srinivasa Murthy",NA,9949003311,rjydvbb@gmail.com,"MBBS MD Microbiology; Diploma In medical Virology",Charity,YES,YES,24x7,4/EG/AP/2007/BB/G,16.03.2007,15.03.2017,17.00787,81.785213
34,"M/s. Government Area General Hospital Blood Bank.","Andhra Pradesh","EAST GODAVARI",Tuni,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni",533401,"08854 252333","09849030908, 09505615556",NA,NA,tunibloodbank@yahoo.com,NA,"Dr. C. Salmon raj",8854252333,09849030908,tunibloodbank@yahoo.com,"MBBS, DCP",Government,NO,NO,24x7,14/EG/AP/2009/BB/G,04.09.2009,03.09.2019,17.354937,82.541241
35,"M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness)","Andhra Pradesh","EAST GODAVARI",Tuni,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni",533401,"08854 251123","09347911130, 09948456739",NA,NA,NA,NA,"Dr. D. Ratnalal Naik",NA,9494952186,sakthibloodbank@gmail.com,MBBS,Charity,NO,NO,24x7,16/EG/AP/2009/BB/G,28.08.2009,28.08.2019,0,0
36,"Government General Hospital Blood Bank","Andhra Pradesh",GUNTUR,Guntur,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.",522001,"0863 2220035 (Ext No: 280)",9966641474,NA,NA,bloodbank.ggh.gnt@gmail.com,NA,"Dr. Anasuyamma, Dr. Maruthi Devi",NA,"09966641474, 09963229506",bloodbank.ggh.gnt@gmail.com,"MBBS, MD (Pathology)",Government,YES,NO,24x7,81/GNT/AP/97/BB/R,9.03.1997,31.12.2016,16.299747,80.443689
37,"Indian Red Cross Society","Andhra Pradesh",GUNTUR,Guntur,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",522004,NA,9985322589,NA,NA,redcrossbloodbankguntur@yahoo.co.in,NA,NA,NA,NA,NA,NA,Charity,YES,NO,24x7,NA,NA,NA,16.306653,80.43654
38,"Indian Red Cross Society Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Zilla Parishad Compound, Nagarampalem, GUNTUR",522004,"0863 2215656","09848181601, 08121751295",NA,NA,NA,NA,"Dr. Y. Prabhavathi",NA,9985322589,redcrossbloodbankguntur@yahoo.co.in,MBBS,Charity,NO,NO,24x7,15/GN/AP/2005/BB/G,23.01.2006,22.01.2011,16.306653,80.43654
39,"Lions Club of Guntur Vision Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","1st Floor, Somuvari Street, Kothapeta, Guntur",522001,"0863 2336198, 0863 2336199",9246600777,NA,NA,NA,NA,"Mr. Srinivas (Project Director)",NA,9440262674,lionsvisionbloodbank@gmail.com,NA,Charity,YES,NA,NA,NA,NA,NA,0,0
40,"Padmavathi Day & Night Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta",522001,NA,NA,NA,NA,NA,NA,"Dr. V. V. Subba Rao",NA,9394110333,"prabhudasmahe2@gmail.com,Drvvsra36@yahoo.com",NA,Private,YES,NA,NA,NA,NA,NA,0,0
41,"M/s. Needs Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta",522001,"0863 6638222, 0863 6639222",9246448899,NA,NA,needsbloodbankguntur@gmail.com,NA,"Dr. Sivaram Prasad, Dr. Kishore",NA,9246448899,srineeds@gmail.com,MBBS,Charity,YES,YES,24x7,07/GN/AP/2008/BB/G,23.06.2008,23.06.2018,16.29882,80.448888
42,"M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","4th Floor, Behind Sivalayam Temple, Kothapeta",522001,"0863 2219955",NA,NA,NA,NA,NA,NA,NA,NA,Srilakshmibloodbank@gmail.com,NA,Private,YES,NA,NA,NA,NA,NA,0,0
43,"Saint Joseph General Hospital Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur",522001,"0863 2322700, 0863 2320386",9493819977,NA,NA,NA,NA,"Sr. Dr. Any",NA,9441065463,Stjh_gnt@yahoo.com,"MBBS, DGO",Charity,NO,NO,24x7,92/GNT/AP/97/BB/R,17.07.1997,01.01.2018,16.297514,80.440648
44,"NTR Memorial Trust Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Door No. 13-2-87, 1st Line G. V. Thota",522001,"0863 2339444",NA,NA,NA,NA,NA,"Mr. Sashi Dhar (Manager)",9032005616,NA,gtrbb@ntrtrust.org,NA,Charity,YES,NA,NA,NA,NA,NA,0,0
45,"Katuri Medical College and Hospital Blood Bank","Andhra Pradesh",GUNTUR,"Guntur Rural","Katuri Nagar, Chinakondrupadu, Guntur",522019,"0863 2288555, 0863 2288556 (Ext No. 234)",NA,NA,NA,katuribloodbank@gmail.com,NA,"Dr. T. Mahathi.",NA,9160983595,katuribloodbank@gmail.com,"MD (Pathology)",Private,YES,NO,24x7,15/GN/AP/2003/BB/G,30.09.2003,30.09.2018,16.227872,80.30947
46,"NRI Medical College and General Hospital Blood Bank","Andhra Pradesh",GUNTUR,"Guntur Rural","Mangalagiri Mandalam, Chinakakani, Guntur",522503,"08645 236777, 08645 237401, 08645 230101","09849989813, 09849989843",NA,NA,NA,NA,"Dr. K. M. N. Prasad",NA,9849948887,bloodbanknri@yahoo.com,"MBBS, DCP",Private,YES,NO,24X7,11/GN/AP/2003/BB/CP,18.07.2003,03.04.2015,16.413675,80.555675
47,"Manipal Hospital Bloodbank","Andhra Pradesh",GUNTUR,"Guntur Rural","Soumyanagar, Tadepalli, Guntur",522501,"0866 2489700 (Ext No.102)",NA,NA,"0866 2498400",NA,http://www.manipalhospital.org,"Dr. C. Sita Latha",NA,9440108197,c.sitalatha@yahoo.com,"MBBS, MD (Pathology)",Private,YES,YES,24x7,24/GN/AP/2009/BB/G,29.10.2010,28.10.2015,16.484433,80.617219
48,"Indian Red Cross Society Blood Bank. Narassraopet","Andhra Pradesh",GUNTUR,Narasaraopeta,"Area Hospital, Narasaraopeta",522601,8647224455,"09885222155, 09885838866","08647 224455",NA,nrtbloodbankircs@gmail.com,NA,"Dr. Babu Reddy",9885222155,9885222156,ntrbloodbankircs@gmail.com,NA,Charity,NO,NA,24x7,NA,NA,NA,16.235919,80.048412
49,"NRT Blood Bank","Andhra Pradesh",GUNTUR,Narasaraopeta,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta",522601,9542628888,9985148884,NA,NA,nrtbioodbank@gmail.com,NA,"Dr. K. Priyanka",NA,7799822212,nrtbloodbank@gmail.com,"MBBS, DA",Private,YES,YES,24X7,04/GNT/AP/2014/BB/G,07.01.2015,06.01.2020,16.193331,80.019956
50,"Anjireddy Multi Specality Blood Bank","Andhra Pradesh",GUNTUR,Piduguralla,"Gaganamma Temple, Piduguralla",522413,"08649 254567",9849212042,NA,NA,NA,NA,"Dr. C. C. Subba Rao",NA,8332812042,athotasunilkumar@gmail.com,MBBS,Private,YES,NO,24X7,03/GNT/AP/2014/BB/G,12.11.2014,12.11.2019,16.478789,79.893642
51,"Red Cross Blood Bank","Andhra Pradesh",GUNTUR,Repalle,"Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P",522265,"08648 223939",9177883353,NA,NA,rplredcrossbb@gmail.com,NA,"Dr. V. Veera Raghavaiah","08648 - 223939",9177883353,dr.raghava2015@gmail.com,"MBBS, DCH",Charity,NO,NO,24x7,09/GNL/2006/AP/BB/R,03.11.2006,02.11.2016,16.017425,80.829475
52,"Area Hospital (Repeated)","Andhra Pradesh",GUNTUR,Tenali,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",522201,NA,9866686760,NA,NA,tenalibloodbank@gmail.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,24x7,NA,NA,NA,16.239531,80.64934
53,"APVVP District Hospital Blood Bank","Andhra Pradesh",GUNTUR,Tenali,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",522202,NA,NA,NA,NA,NA,NA,"Dr. Sujhatha",8985100299,NA,tenalibloodbank@gmail.com,NA,Government,YES,NA,NA,NA,NA,NA,0,0
54,"Rudhira Voluntary Blood Bank","Andhra Pradesh",GUNTUR,Tenali,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",522201,"08644 231222, 08644 654123",9247155622,NA,NA,maruthi_nagalingam@yahoo.com,NA,"Dr. C. Rajesh",NA,9949934144,rudhira.voluntary@gmail.com,MBBS,Private,NO,NO,24x7,13/GNT/AP/2010/BB/CP,20.08.2010,21.03.2019,16.243428,80.646397
55,"Best Rotary Blood Bank","Andhra Pradesh",GUNTUR,Tenali,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali",522201,NA,09849833321,NA,NA,NA,NA,"Dr. Siva Vara Prasad",NA,8143911234,bestrotarybloodbank@gmail.com,MBBS,Private,NO,NO,24X7,2/GNT/AP/2010/BB/G,27.02.2010,26.02.2015,16.251179,80.64934
56,"Area Hospital Blood Bank","Andhra Pradesh",KRISHNA,Gudivada,Gudivada,521301,"08674 245040",7799990904,NA,NA,areahospital.gudivada@gmail.com,NA,"Dr. Satyanarayana",NA,9848607402,areahospital.gudivada@gmail.com,"MBBS, Diploma in Orthopaedics",Government,NO,NO,24x7,84/KR/AP/97/BB/R,17.04.1997,31.12.2017,16.349045,81.049715
57,"Dr. Pattabhi Red Cross Blood Bank","Andhra Pradesh",KRISHNA,Machilipatnam,"DM & HO Campus, Machilipatnam",521001,"08672 230605",NA,NA,NA,drprcbloodbankmtm@gmail.com,NA,"Dr. S. V. Ramana",NA,8019905040,drprcbloodbankmtm@gmail.com,"MBBS, DA, DLO",Charity,NO,NO,24x7,11/K.R/AP/2004/BB/G,10.08.2004,21.09.2015,16.190546,81.136154
58,"Government General Hospital (Repeated)","Andhra Pradesh",KRISHNA,Vijayawada,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",520007,9866686760,8662452244,NA,NA,gghbbvij@gmail.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,24x7,NA,NA,NA,16.513339,80.618989
59,"Government District Headquarters Hospital machilipatnam blood bank","Andhra Pradesh",KRISHNA,Vijayawada,Machilipatnam,521001,"08672 245040",NA,NA,NA,dhmtmbb@gmail.com,NA,"DR .A.B.S. SRINIVASARAO",NA,NA,NA,"MD D ORTHO",Government,NO,NA,24x7,"LIC NO.71/KR/AP/1997/BB/R DT. 31-12-2017.",NA,NA,16.176867,81.138647
60,"Rotary Red Cross Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District",520003,"0866 2570082, 0866 6464002",9848124977,NA,NA,redcrosskrishna@gmail.com,NA,"Dr. S. Madhana Mohan",NA,9441902311,redcrosskrishna@gmail.com,MBBS,Charity,YES,NO,24x7,2/HD/AP/2002/BB/G,18.02.2002,17.02.2017,16.506174,80.648015
61,"Vijaya Sri Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",520002,"0866 2433199",9392120187,NA,NA,"vijayasribloodbankvja @gmail.com",NA,"Dr.T.Gopala Krishna Murthy",9392120187,9701233199,"drtgopalakrishnamurthy @yahoo.com",MBBS,Charity,YES,YES,24x7,14/KR/AP/2005/BB/CP,29-4-2013,28-4-18,16.51304,80.635644
62,"Lions Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada",520002,"0866 2434417",NA,NA,NA,lionsbloodbank@yahoo.com,NA,"Dr. Kiran Kumar",NA,NA,NA,MBBS,Charity,NO,NO,24x7,22/KR/AP/2009/BB/G,18.12.2009,17.12.2014,16.506174,80.648015
63,"University General Hospital Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"Ring Road, Gunadala, Vijayawada","520 008","0866 2452244, 0866 2453488",NA,NA,NA,gghbbvij@gmail.com,NA,"Dr. V. Kiranmayee",NA,9440357428,"kiranmayi.bogarapu@gmail.com,","MBBS, MD (Bio-chemistry)",Government,NO,NO,24x7,66/KR/AP/97/BB/CP,28.01.1997,31.12.2017,16.516111,80.670085
64,"M/s. Chaitanya Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada",520010,"0866 2497977, 0866 645977",9246289777,NA,NA,NA,NA,"Dr. Rama Reddy",NA,9246289777,chaitanyabloodbank@gmail.com,"MBBS (MD Pathology)",Charity,YES,YES,24x7,19/KR/AP/2010/BB/G,21.12.2010,20.12.2019,16.498839,80.655488
65,"Nagarjuna Hospital Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"Kanuru, Vijayawada",NA,"0866 2554701",9848141550,NA,NA,NA,NA,NA,NA,NA,NA,NA,Private,NO,NA,NA,NA,NA,NA,0,0
